No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
209,China Renaissance K2 Ventures,VC,$150.0M,$0.00,5/14/2015,Beijing,Beijing,,CHN,0,0,chinarenaissance.com,0
210,Cultivian Sandbox Ventures,VC,$150.0M,$85.0M,6/19/2014,Chicago,Chicago,IL,USA,0,0,cultiviansbx.com,0
211,GSR Ventures,VC,$150.0M,$0.00,7/31/2015,Beijing,Beijing,,CHN,0,0,gsrventures.cn,0
212,Capital Midwest Fund,VC,$150.0M,$29.6M,12/10/2015,Milwaukee,Milwaukee,WI,USA,0,0,capitalmidwest.com,0
213,Draper Associates,VC,$150.0M,$201.1M,12/1/2016,Bay Area,San Mateo,CA,USA,0,0,drapervc.com,0
214,Ascent Venture Partners,VC,$150.0M,$71.1M,8/15/2016,Boston,Boston,MA,USA,0,0,ascentvp.com,0
215,Compound Ventures,VC,$149.9M,$74.9M,1/22/2016,New York,New York,NY,USA,83,105,compound.vc,115
216,ARTIS Ventures,VC,$149.4M,$100.1M,12/14/2016,Bay Area,San Francisco,CA,USA,0,0,artisventures.com,0
217,Valar Ventures,VC,$149.1M,$146.6M,12/8/2016,Bay Area,San Francisco,CA,USA,0,0,valarventures.com,0
218,Adara Venture Partners,VC,$141.2M,$143.9K,8/26/2016,Madrid,Madrid,,ESP,0,0,adaravp.com,0
219,Presidio Ventures,VC,$140.4M,$140.4M,11/18/2014,Bay Area,Santa Clara,CA,USA,0,0,presidio-ventures.com,0
220,Monashees Capital,VC,$140.0M,$0.00,12/3/2014,São Paulo,São Paulo,,BRA,0,0,monashees.com.br,0
221,Costanoa Venture Capital,VC,$138.3M,$3.3M,10/28/2015,Bay Area,Palo Alto,CA,USA,0,0,costanoavc.com,0
222,Caffeinated Capital,VC,$135.0M,$18.7M,11/21/2016,Bay Area,San Francisco,CA,USA,0,0,caffcap.com,0
223,Mark Ventures,VC,$135.0M,$135.0M,1/22/2014,Pune,Pune,MH,IND,0,0,markvc.com,0
224,Bullpen Capital,VC,$133.7M,$8.7M,5/11/2016,Bay Area,Menlo Park,CA,USA,0,0,bullpencap.com,0
225,Mercury Fund,VC,$132.0M,$97.4M,10/30/2014,Houston,Houston,TX,USA,0,0,mercuryfund.com,0
