No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
849,Tigris Capital,VC,$0.00,$0.00,,,,,,0,0,tigriscapital.com.sg,0
850,Proseed Capital,VC,$0.00,$0.00,,,,,,0,0,,0
851,CX Partners,VC,$0.00,$0.00,,,,,,0,0,cxpartners.in,0
852,Mashup Angels,VC,$0.00,$0.00,,,,,,0,0,mashupangels.com,0
853,Florida Funders,VC,$0.00,$0.00,,,,,,0,0,floridafunders.com,0
854,Bridge Builders Collaborative,VC,$0.00,$0.00,,,,,,0,0,bbcollaborative.com,0
855,Fatima Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
856,Experior Ventures,VC,$0.00,$0.00,,,,,,0,0,evf.com.pl,0
857,Laurence Capital,VC,$0.00,$0.00,,,,,,0,0,laurencecapital.com,0
858,Gujarat Angel Investors Network (GAIN),VC,$0.00,$0.00,,,,,,0,0,,0
859,Altair Capital,VC,$0.00,$0.00,,,,,,0,0,altair-capital.com,0
860,Aura Capital,VC,$0.00,$0.00,,,,,,0,0,auracapital.com.au,0
861,Saison Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
862,Matthew Moore,VC,$0.00,$0.00,,,,,,0,0,,0
863,V-Ten Capital,VC,$0.00,$0.00,,,,,,0,0,vtencp.com,0
864,Mistletoe Japan,VC,$0.00,$0.00,,,,,,0,0,mistletoe.co,0
865,62 Mile Ventures,VC,$0.00,$0.00,,,,,,0,0,62mileventures.com,0
866,Clovis Point Capital,VC,$0.00,$0.00,,,,,,0,0,,0
867,Seasme Ventures,VC,$0.00,$0.00,,,,,,0,0,sesameworkshop.org,0
868,Crown Venture Fund,VC,$0.00,$0.00,,,,,,0,0,,0
869,J.S. Oliver Capital Management,VC,$0.00,$0.00,,,,,,0,0,jsolivercapitalmanagement.com,0
870,KRW Schindler Private Ventures,VC,$0.00,$0.00,,,,,,0,0,krw-schindler.com,0
871,Cass Entrepreneurship Fund,VC,$0.00,$0.00,,,,,,0,0,cass.city.ac.uk,0
872,Freedom 3 Capital,VC,$0.00,$0.00,,,,,,0,0,freedom3capital.com,0
873,NextStage Capital,VC,$0.00,$0.00,,,,,,0,0,nextstagecapital.com,0
874,Norner Verdandi,VC,$0.00,$0.00,,,,,,0,0,,0
875,Grey Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
876,Fjord Ventures,VC,$0.00,$0.00,2/18/2010,Los Angeles,Laguna Hills,CA,USA,0,0,fjordventures.com,0
877,Compuware Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
878,Brains2Market,VC,$0.00,$0.00,,,,,,0,0,enbrains2market.weebly.com,0
879,Manatuck Hill Partners,VC,$0.00,$0.00,,,,,,0,0,manatuckhill.com,0
880,Africa Angels Network,VC,$0.00,$0.00,,,,,,0,0,africaangelsnetwork.com,0
881,Rock Creek Capital,VC,$0.00,$0.00,,,,,,0,0,rockcreekcapital.com,0
882,ZKB Pharma Vision Fund,VC,$0.00,$0.00,,,,,,0,0,,0
883,Tinicum Capital Partners II,VC,$0.00,$0.00,,,,,,0,0,tinicum.com,0
884,Miller Investment Management,VC,$0.00,$0.00,,,,,,0,0,millerinv.com,0
885,aws Grunderfonds,VC,$0.00,$0.00,,,,,,0,0,gruenderfonds.at,0
886,Univers Invest,VC,$0.00,$0.00,,,,,,0,0,universinvest-sicar.com,0
887,Hessen Kapital,VC,$0.00,$0.00,,,,,,0,0,hessen-kapital.de,0
888,AlphaPrime Ventures,VC,$0.00,$0.00,,,,,,0,0,alphaprime.com,0
889,SilverStream Capital,VC,$0.00,$0.00,,,,,,0,0,silverstreamcapital.com,0
890,Angel Investor Forum,VC,$0.00,$0.00,,,,,,0,0,angelinvestorforum.com,0
891,F&C Climate Opportunity Partners,VC,$0.00,$0.00,,,,,,0,0,,0
892,Harvest Global Investments,VC,$0.00,$0.00,,,,,,0,0,,0
893,Inland TechStart Fund,VC,$0.00,$0.00,,,,,,0,0,inlandtechstartfund.com,0
894,Billiken Angels Network,VC,$0.00,$0.00,,,,,,0,0,billikenangels.com,0
895,,VC,$0.00,$0.00,,,,,,0,0,,0
896,Murfey Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
897,Marvel Venture Partners,VC,$0.00,$0.00,,,,,,0,0,marvelventure.com,0
898,Charmides Capital,VC,$0.00,$0.00,,,,,,0,0,charmidescapital.com,0
899,Impact Venture Partners,VC,$0.00,$0.00,,,,,,0,0,impactvp.com,0
900,Avista Capital Partners,VC,$0.00,$0.00,,,,,,0,0,avistacapitalpartners.de,0
901,Golf Ventures,VC,$0.00,$0.00,,,,,,0,0,gpgventures.com,0
902,Lanstead Capital,VC,$0.00,$0.00,,,,,,0,0,lanstead.com,0
903,Hina Group,VC,$0.00,$0.00,,,,,,0,0,hinagroup.com.cn,0
904,Cross Culture Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
905,Changyou Fund,VC,$0.00,$0.00,,,,,,0,0,changyou.com,0
906,Intera Partners,VC,$0.00,$0.00,,,,,,0,0,interapartners.fi,0
907,Walden Woods Holdings,VC,$0.00,$0.00,,,,,,0,0,waldenwoodsholdings.co,0
908,Next Capital,VC,$0.00,$0.00,,,,,,0,0,nextcapital.com.au,0
909,Dr. Schulze Holding,VC,$0.00,$0.00,,,,,,0,0,dr-schulze-consulting.de,0
910,L Capital Asia,VC,$0.00,$0.00,,,,,,0,0,lcapitalasia.com,0
911,Fountainhead Investment Partners,VC,$0.00,$0.00,,,,,,0,0,fountainheadinvestors.com,0
912,Biox Biosciences,VC,$0.00,$0.00,,,,,,0,0,,0
913,TitanMed Capital,VC,$0.00,$0.00,,,,,,0,0,,0
914,Deerfield Partners,VC,$0.00,$0.00,,,,,,0,0,deerfieldteam.com,0
915,R&R Ventures,VC,$0.00,$0.00,,,,,,0,0,r-rventures.com,0
916,Mediobanca,VC,$0.00,$0.00,,,,,,0,0,mediobanca.it,0
917,Kolon Investment,VC,$0.00,$0.00,,,,,,0,0,koloninvest.com,0
918,MaRS Cleantech Fund,VC,$0.00,$0.00,,,,,,0,0,,0
919,EQ Partners,VC,$0.00,$0.00,,,,,,0,0,eqpartners.co.kr,0
920,Pura Vida Investments,VC,$0.00,$0.00,,New York,New York,NY,USA,0,0,,0
921,Regiment Capital,VC,$0.00,$0.00,,,,,,0,0,regimentcapital.com,0
922,Cranberry Capital,VC,$0.00,$0.00,,,,,,0,0,crancap.com,0
923,Atisco and associates,VC,$0.00,$0.00,,,,,,0,0,,0
924,Bincot,VC,$0.00,$0.00,,,,,,0,0,,0
925,FSE Investor Network,VC,$0.00,$0.00,,,,,,0,0,,0
926,Ventana Capital,VC,$0.00,$0.00,,,,,,0,0,ventanavc.com,0
927,Contango Capital Partners,VC,$0.00,$0.00,,,,,,0,0,,0
928,RUSNANO,VC,$0.00,$0.00,,Bay Area,Menlo Park,CA,USA,0,0,en.rusnano.com,0
929,IDMVC,VC,$0.00,$0.00,,,,,,0,0,,0
930,Value Invest Korea,VC,$0.00,$0.00,,,,,,0,0,vikorea.co.kr,0
931,Lepe Partners,VC,$0.00,$0.00,,London,London,,GBR,0,0,lepepartners.com,0
932,Pulver's Micro Angel Fund,VC,$0.00,$0.00,,,,,,0,0,,0
933,Technology Alliance Investment,VC,$0.00,$0.00,,,,,,0,0,,0
934,Mistletoe,VC,$0.00,$0.00,,,,,,0,0,,0
935,Social Venture Fund,VC,$0.00,$0.00,,Detroit,Ann Arbor,MI,USA,0,0,umsocialventure.com,0
936,Fengshang Capital,VC,$0.00,$0.00,,,,,,0,0,,0
937,ET Capital Partners,VC,$0.00,$0.00,,,,,,0,0,etcapital.us,0
938,SEED GmbH,VC,$0.00,$0.00,,,,,,0,0,,0
939,Fides Finanz-Invest,VC,$0.00,$0.00,,,,,,0,0,,0
940,Wate Oy (Oras invest),VC,$0.00,$0.00,,,,,,0,0,orasinvest.fi,0
941,First Niagara Bank,VC,$0.00,$0.00,,,,,,0,0,firstniagara.com,0
942,Alliansys-Nord Creation,VC,$0.00,$0.00,,,,,,0,0,,0
943,Pound Capital,VC,$0.00,$0.00,,,,,,0,0,poundcapital.com,0
944,Canadian International Capital,VC,$0.00,$0.00,,,,,,0,0,cicnova.com,0
945,NIBC Capital Partners,VC,$0.00,$0.00,,,,,,0,0,nibc.com,0
946,LCS Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
947,Excellere Partners,VC,$0.00,$0.00,,,,,,0,0,excellerepartners.com,0
948,Cowtown Angels,VC,$0.00,$0.00,,Dallas,Fort Worth,TX,USA,0,0,cowtownangels.org,0
949,Arcus Capital Partners,VC,$0.00,$0.00,,Atlanta,Atlanta,GA,USA,0,0,arcuscp.com,0
950,Cedar Grove Investments,VC,$0.00,$0.00,,,,,,0,0,,0
951,MemorialCare Innovation Fund,VC,$0.00,$0.00,,,,,,0,0,memorialcareinnovationfund.com,0
952,Aiming Venture Partners,VC,$0.00,$0.00,,,,,,0,0,,0
953,AUA Private Equity Partners,VC,$0.00,$0.00,,,,,,0,0,auaequity.com,0
954,Syntek Capital,VC,$0.00,$0.00,,,,,,0,0,syntekcapital.com,0
955,WME Ventures,VC,$0.00,$0.00,9/29/2015,,,,,0,0,,0
956,Bulldog Investors,VC,$0.00,$0.00,,,,,,0,0,bulldoginvestors.com,0
957,Allegro Investment Fund,VC,$0.00,$0.00,,,,,,0,0,allegroinvestment.com,0
958,Barclays Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
959,Frog & Peach Investments,VC,$0.00,$0.00,,,,,,0,0,,0
960,Young Turk Ventures,VC,$0.00,$0.00,,,,,,0,0,youngturkvc.com,0
961,NGK SPARK PLUG CO,VC,$0.00,$0.00,,Nagoya,Nagoya,,JPN,0,0,ngk.com,0
962,MX Investments,VC,$0.00,$0.00,,,,,,0,0,,0
963,Advent-Morro Equity Partners,VC,$0.00,$0.00,,,,,,0,0,adventmorro.com,0
964,mTerra Ventures,VC,$0.00,$0.00,,,,,,0,0,mterraventures.net,0
965,GEM Capital Ventures,VC,$0.00,$0.00,,,,,,0,0,gemcapitalventures.com,0
966,Provence Business Angels,VC,$0.00,$0.00,,,,,,0,0,provenceangels.com,0
967,Topping Capital,VC,$0.00,$0.00,,,,,,0,0,toppingcapital.com,0
968,SBD Global Fund,VC,$0.00,$0.00,,,,,,0,0,sbdfund.com,0
969,Gulf Ventures,VC,$0.00,$0.00,,,,,,0,0,gulfventures.com,0
970,Prax Capital,VC,$0.00,$0.00,,,,,,0,0,praxcapital.com,0
971,Prosensa investors,VC,$0.00,$0.00,,,,,,0,0,,0
972,Ekap AIF,VC,$0.00,$0.00,,,,,,0,0,ekapaif.se,0
973,GVT Fund (Industrial Technology Investment Co),VC,$0.00,$0.00,5/18/2011,Taipei,Taipei,,TWN,0,0,itic.com.tw,0
974,Coliseum Capital Management,VC,$0.00,$0.00,,,,,,0,0,,0
975,Hiidenkivi Investment Oy,VC,$0.00,$0.00,,,,,,0,0,,0
976,Monogram Ventures,VC,$0.00,$0.00,,,,,,0,0,monogram.ventures,0
977,The University of Oxford's Said Business School Seed Fund,VC,$0.00,$0.00,,,,,,0,0,,0
978,Empower Capital,VC,$0.00,$0.00,,,,,,0,0,empowercap.com,0
979,UOB Venture Management,VC,$0.00,$0.00,,,,,,0,0,uobvm.com.sg,0
980,AP6,VC,$0.00,$0.00,,,,,,0,0,apfond6.se,0
981,Elran Technologies,VC,$0.00,$0.00,,,,,,0,0,,0
982,Nominet Trust,VC,$0.00,$0.00,,Oxford,Oxford,,GBR,0,0,nominettrust.org.uk,0
983,Energy Entrepreneurs Fund,VC,$0.00,$0.00,,London,London,,GBR,0,0,,0
984,Barunson E and M,VC,$0.00,$0.00,,,,,,0,0,,0
985,Chester Investments,VC,$0.00,$0.00,,,,,,0,0,,0
986,Go Beyond,VC,$0.00,$0.00,,,,,,0,0,go-beyond.biz,0
987,Montage Capital,VC,$0.00,$0.00,,,,,,0,0,montagecapital.com,0
988,Sterling VC,VC,$0.00,$0.00,,,,,,0,0,sterling.vc,0
989,First Eastern Investment Group,VC,$0.00,$0.00,,,,,,0,0,,0
990,Terawatt Ventures,VC,$0.00,$0.00,,Boston,Cambridge,MA,USA,0,0,terawattventures.com,0
991,EarlyStage.nyc Fund,VC,$0.00,$0.00,,,,,,0,0,earlystage.nyc,0
992,Ocean Capital,VC,$0.00,$0.00,,,,,,0,0,ocean-capital.com,0
993,Rochester Institute of Technology Fund,VC,$0.00,$0.00,,,,,,0,0,rit.edu,0
994,KI Investment Holdings,VC,$0.00,$0.00,,,,,,0,0,,0
995,Gerbera Capital,VC,$0.00,$0.00,,,,,,0,0,gerberacapital.com,0
996,Kumpulan Modal Perdana,VC,$0.00,$0.00,,,,,,0,0,modalperdana.com,0
997,RHL Ventures,VC,$0.00,$0.00,,,,,,0,0,rhlventure.com,0
998,FIDES (FJME Ventures),VC,$0.00,$0.00,,,,,,0,0,fjme.org,0
999,Lakewood & Company,VC,$0.00,$0.00,,,,,,0,0,lakewoodcompany.com,0
1000,Eastman Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1001,Florida Silicon Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1002,Nagase America Corp,VC,$0.00,$0.00,,Bay Area,Santa Clara,CA,USA,0,0,nagaseamerica.com,0
1003,Green Peak Partners,VC,$0.00,$0.00,,,,,,0,0,greenpeakpartners.com,0
1004,Lazarus Israel Opportunities Fund,VC,$0.00,$0.00,,,,,,0,0,lazarusisrael.com,0
1005,Vue Ventures,VC,$0.00,$0.00,,,,,,0,0,vueventures.com,0
1006,La Costa Investment Group,VC,$0.00,$0.00,,,,,,0,0,lacostainvestmentgroup.com,0
1007,Rex Capital,VC,$0.00,$0.00,,,,,,0,0,rexcap.net,0
1008,Cordova Ventures,VC,$0.00,$0.00,,,,,,0,0,cordovaventures.com,0
1009,One Capital,VC,$0.00,$0.00,,,,,,0,0,onecapital.com,0
1010,VentureSpur,VC,$0.00,$0.00,,,,,,0,0,venturespur.com,0
1011,MedCare Investment Funds,VC,$0.00,$0.00,,,,,,0,0,medcarefunds.com,0
1012,Radicle Capital,VC,$0.00,$0.00,,,,,,0,0,radiclecapital.com,0
1013,SE Growth Group,VC,$0.00,$0.00,,,,,,0,0,se.dk,0
1014,Heritage Gemstone Investors,VC,$0.00,$0.00,,,,,,0,0,,0
1015,New Vostok Ventures,VC,$0.00,$0.00,,,,,,0,0,vostoknewventures.com,0
1016,Phoenix IP Ventures,VC,$0.00,$0.00,,,,,,0,0,phoenixipv.com,0
1017,Bevus Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1018,Gopher Angels,VC,$0.00,$0.00,,,,,,0,0,gopherangels.com,0
1019,LEO Innovation Lab,VC,$0.00,$0.00,,,,,,0,0,leoinnovationlab.com,0
1020,Guidon Partners,VC,$0.00,$0.00,,,,,,0,0,guidonpartners.com,0
1021,Hambrecht EU Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1022,Innodo,VC,$0.00,$0.00,,,,,,0,0,innodo.co,0
1023,Palos Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1024,Good People Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1025,Swiss Life Private Equity Partners,VC,$0.00,$0.00,,,,,,0,0,swisslife.com,0
1026,EDG Partners,VC,$0.00,$0.00,,,,,,0,0,edgpartners.com,0
1027,Saned Partners,VC,$0.00,$0.00,,,,,,0,0,sanedpartners.com,0
1028,Hendricks Investment Holdings,VC,$0.00,$0.00,,,,,,0,0,hihllc.com,0
1029,Beechbrook Capital,VC,$0.00,$0.00,,,,,,0,0,beechbrookcapital.com,0
1030,Vox Equity Partners I,VC,$0.00,$0.00,,,,,,0,0,voxequitycapital.com,0
1031,Vectis Healthcare & Life Sciences Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1032,Innovate Indiana Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1033,Thames Valley Investment Network,VC,$0.00,$0.00,,,,,,0,0,tvin.co.uk,0
1034,Judge Ventures,VC,$0.00,$0.00,,,,,,0,0,judgeventures.com,0
1035,Crossbow Capital Partners Ltd,VC,$0.00,$0.00,,,,,,0,0,,0
1036,Hangzhou Liaison Interactive Information Technology,VC,$0.00,$0.00,,,,,,0,0,,0
1037,Foursome Investments,VC,$0.00,$0.00,,,,,,0,0,,0
1038,Herculis Partners,VC,$0.00,$0.00,,,,,,0,0,herculispartners.ch,0
1039,KTH Holding,VC,$0.00,$0.00,,,,,,0,0,kth.se,0
1040,Kaust Innovation Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1041,SMS group,VC,$0.00,$0.00,,,,,,0,0,sms-group.com,0
1042,Community Investment Corporation,VC,$0.00,$0.00,,,,,,0,0,ciclending.com,0
1043,Samridhi Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1044,Mallin Venture,VC,$0.00,$0.00,,,,,,0,0,,0
1045,Taiwan Development Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1046,Caleo Capital,VC,$0.00,$0.00,,,,,,0,0,caleocapital.co.za,0
1047,Salem Investment Partners,VC,$0.00,$0.00,,,,,,0,0,salemip.com,0
1048,GSO Capital Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1049,STC Ventures,VC,$0.00,$0.00,,,,,,0,0,stcventures.com,0
1050,L&S Venture Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1051,Palo Alto Venture Science,VC,$0.00,$0.00,,,,,,0,0,venture-science.com,0
1052,Bright Technologies Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1053,Future Capital (China),VC,$0.00,$0.00,,,,,,0,0,future-cap.com,0
1054,PathoCapital,VC,$0.00,$0.00,,Chicago,Northbrook,IL,USA,0,0,,0
1055,Highland’s Clinical Development Group,VC,$0.00,$0.00,,,,,,0,0,,0
1056,Baring Private Equity Partners India Limited,VC,$0.00,$0.00,,,,,,0,0,bpepindia.com,0
1057,Hankey Capital,VC,$0.00,$0.00,,,,,,0,0,hiclp.com,0
1058,Provider Investor Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1059,Hafslund Venture,VC,$0.00,$0.00,,,,,,0,0,hafslund.no,0
1060,LMK Venture,VC,$0.00,$0.00,,,,,,0,0,,0
1061,Lunar Group Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1062,Sirius Angel Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1063,Dragonvest Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1064,Rabo Ventures,VC,$0.00,$0.00,,,,,,0,0,raboventures.com,0
1065,Fibrotic Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1066,FSN PME Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1067,Hikma Ventures,VC,$0.00,$0.00,,,,,,0,0,hikmaventures.com,0
1068,Michigan Pre-Seed Fund (MPSF),VC,$0.00,$0.00,,,,,,0,0,,0
1069,Microdent,VC,$0.00,$0.00,,,,,,0,0,microdent.ind.br,0
1070,East Rock Capital,VC,$0.00,$0.00,,New York,New York,NY,USA,0,0,eastrockcap.com,0
1071,HexFund,VC,$0.00,$0.00,,,,,,0,0,hexfund.com,0
1072,Global Pharmaceutical Industry Development Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1073,Aitek S.p.A.,VC,$0.00,$0.00,,,,,,0,0,aitek.it,0
1074,Lune Rouge,VC,$0.00,$0.00,,,,,,0,0,lunerouge.com,0
1075,Anchorage Angels,VC,$0.00,$0.00,,,,,,0,0,,0
1076,Hera Capital,VC,$0.00,$0.00,,,,,,0,0,hera-capital.com,0
1077,Packaging Partners,VC,$0.00,$0.00,,,,,,0,0,packagingpartnersllc.com,0
1078,Fast Track Asia,VC,$0.00,$0.00,,Hong Kong,Hong Kong,,CHN,0,0,fast-track.asia,0
1079,Fort Rock Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1080,Conegliano Venture,VC,$0.00,$0.00,,,,,,0,0,,0
1081,Venture Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1082,Conscious Venture Lab,VC,$0.00,$0.00,,,,,,0,0,consciousventurelab.com,0
1083,ChileGlobal Angels,VC,$0.00,$0.00,,,,,,0,0,chileglobalangels.cl,0
1084,Jupiter Fund,VC,$0.00,$0.00,,,,,,0,0,jupiter.gg,0
1085,Sedona Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1086,Sabadour Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1087,AQUITI Gestion (ACI),VC,$0.00,$0.00,,,,,,0,0,aquiti.fr,0
1088,Baxalta Ventures,VC,$0.00,$0.00,,,,,,0,0,baxalta.com,0
1089,Craft Catalyst,VC,$0.00,$0.00,,,,,,0,0,craftcatalystllc.com,0
1090,Menterra Venture Advisors,VC,$0.00,$0.00,,,,,,0,0,menterra.com,0
1091,Skywalker Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1092,Blue Marble Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1093,Bonaventure Capital,VC,$0.00,$0.00,,,,,,0,0,bonaventurecapital.net,0
1094,Santo Venture Capital,VC,$0.00,$0.00,,,,,,0,0,athos.de,0
1095,Italian Business Angel Network (IBAN),VC,$0.00,$0.00,,,,,,0,0,iban.it,0
1096,China Spring Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1097,VLX Ventures,VC,$0.00,$0.00,,,,,,0,0,vlx.co.il,0
1098,Bargal R&D Investment,VC,$0.00,$0.00,,,,,,0,0,,0
1099,StartOK Accelerator Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1100,Venio Capital Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1101,Case Technology Ventures,VC,$0.00,$0.00,,,,,,0,0,research.case.edu,0
1102,North Star Equity Investment Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1103,Sonostar Capital Partners,VC,$0.00,$0.00,,,,,,0,0,sonostarcapital.com,0
1104,Pacific Channel,VC,$0.00,$0.00,,,,,,0,0,pacificchannel.com,0
1105,TBS Innovation Partners,VC,$0.00,$0.00,,,,,,0,0,tbs-ip.co.jp,0
1106,LBS Technologies,VC,$0.00,$0.00,,,,,,0,0,,0
1107,Valley Venture Capital,VC,$0.00,$0.00,,,,,,0,0,valley-vc.com,0
1108,Six Degrees Capital,VC,$0.00,$0.00,,,,,,0,0,6degreescapital.com,0
1109,I-Next Ventures SA,VC,$0.00,$0.00,,,,,,0,0,,0
1110,New Dream Networks,VC,$0.00,$0.00,,,,,,0,0,,0
1111,JWI Capital,VC,$0.00,$0.00,,,,,,0,0,jwicapital.com,0
1112,Lead Dog Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1113,New England Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1114,Frontline BioVentures,VC,$0.00,$0.00,,,,,,0,0,frontlinebioventures.com,0
1115,SAIC Capital,VC,$0.00,$0.00,,,,,,0,0,saiccapital.com,0
1116,Dry Creek Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1117,Kitty Hawk Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1118,VRP Rhineland Palatinate Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1119,EonTech Ventures,VC,$0.00,$0.00,,,,,,0,0,eontechventures.com,0
1120,MPS Venture,VC,$0.00,$0.00,,,,,,0,0,,0
1121,Atheneos Capital,VC,$0.00,$0.00,,,,,,0,0,atheneoscapital.com,0
1122,Brown Venture Labs,VC,$0.00,$0.00,,,,,,0,0,,0
1123,Murphree Venture Partners,VC,$0.00,$0.00,,,,,,0,0,murphreeventures.com,0
1124,Foundation Venture Capital Group,VC,$0.00,$0.00,,,,,,0,0,foundationventure.com,0
1125,KLab Ventures,VC,$0.00,$0.00,,Tokyo,Tokyo,,JPN,0,0,klabventures.jp,0
1126,Kernal Capital,VC,$0.00,$0.00,,,,,,0,0,kernel-capital.com,0
1127,BioFund Management,VC,$0.00,$0.00,,,,,,0,0,biofund.fi,0
1128,CERN Pension Fund,VC,$0.00,$0.00,,,,,,0,0,pensionfund.cern.ch,0
1129,DKR Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1130,Omicron Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1131,W Fund,VC,$0.00,$0.00,6/15/2012,,,,,0,0,thewfund.com,0
1132,Laurus Funds,VC,$0.00,$0.00,,,,,,0,0,laurusfunds.com,0
1133,AngelVest,VC,$0.00,$0.00,,,,,,0,0,angelvestgroup.com,0
1134,Cascade Fund,VC,$0.00,$0.00,,,,,,0,0,cascadefund.co.uk,0
1135,Meriten Investment Management,VC,$0.00,$0.00,,,,,,0,0,,0
1136,Bluemind Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1137,LTG Development Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1138,Palantir Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1139,Vandaele Capital,VC,$0.00,$0.00,,,,,,0,0,vandaelecapital.com,0
1140,Voobon Ventures,VC,$0.00,$0.00,,,,,,0,0,voobonventures.com,0
1141,Riga Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
1142,Tianxing Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1143,Ananda Social Venture Fund,VC,$0.00,$0.00,,,,,,0,0,socialventurefund.com,0
1144,Minerva Business Angel Network,VC,$0.00,$0.00,,,,,,0,0,,0
1145,Turnstone Capital Management,VC,$0.00,$0.00,,,,,,0,0,turnstonecapital.com,0
1146,Mountaineer Capital,VC,$0.00,$0.00,,,,,,0,0,mountaineercapital.com,0
1147,Angyal Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1148,SCO Capital Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1149,Biopartners Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1150,Tokyo Electron Venture Capital,VC,$0.00,$0.00,,,,,,0,0,tel.com,0
1151,Phoenix Group Capital,VC,$0.00,$0.00,,,,,,0,0,phoenixcapitalgroup.com,0
1152,Chiesi Ventures,VC,$0.00,$0.00,,,,,,0,0,chiesiventures.com,0
1153,Bailador Investments,VC,$0.00,$0.00,,,,,,0,0,bailador.com.au,0
1154,Arena Investors,VC,$0.00,$0.00,,,,,,0,0,arenaco.com,0
1155,Activa Capital,VC,$0.00,$0.00,,,,,,0,0,activacapital.com,0
1156,General Technology Venture Capital,VC,$0.00,$0.00,,,,,,0,0,,0
1157,Einav Hi-Tech Assets,VC,$0.00,$0.00,,,,,,0,0,,0
1158,Royal Street Investment & Innovation Center (RSIIC),VC,$0.00,$0.00,,,,,,0,0,rsiic.com,0
1159,Spartan Innovations,VC,$0.00,$0.00,,,,,,0,0,spartaninnovations.org,0
1160,Centurion Venture Partners,VC,$0.00,$0.00,,,,,,0,0,centurionvps.com,0
1161,Sea Dragon Healthcare Partners,VC,$0.00,$0.00,,,,,,0,0,,0
1162,RNK Capital,VC,$0.00,$0.00,,,,,,0,0,rnkcapital.com,0
1163,Greenmont Capital Partners,VC,$0.00,$0.00,,,,,,0,0,greenmontcapital.com,0
1164,FCPR Israel Discovery Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1165,Erasmic Venture Fund,VC,$0.00,$0.00,,,,,,0,0,,0
1166,Swiss Helvetia Fund,VC,$0.00,$0.00,,,,,,0,0,swzfund.com,0
1167,University of New Mexico Co-Investment Fund,VC,$0.00,$0.00,,,,,,0,0,stc.unm.edu,0
1168,MAD Ventures,VC,$0.00,$0.00,,,,,,0,0,madventures.tv,0
1169,Vantage Partners,VC,$0.00,$0.00,,,,,,0,0,vantagepartners.com,0
1170,UMIP Premier Fund,VC,$0.00,$0.00,,,,,,0,0,theupf.com,0
1171,Twente Technology Fund,VC,$0.00,$0.00,,,,,,0,0,twentefund.nl,0
